,proverb,translation,
2324,கரைப்பார் கரைத்தாற் கல்லும் கரையும்.,"Under the management of the skilful, even a stone may be dissolved.",
2325,கலகத்திலே புளுகாதவன் நரகத்திலே போவானாம்.,It is said that he who does not exaggerate when a tumult occurs will go to hell.,
2326,கலகத்திலே போயும் கால்மாடு தலைமாடா?,In regard to a bed is the distinction of head and foot observed in a battle-field?,
2327,கலகம் கலந்தால் உலகம் கலங்கும்.,In a general insurrection universal consternation prevails.,
2328,கலகம் பிறந்தால் நியாயம் பிறக்கும்.,Popular agitation leads to justice.,
2329,கலகமே மெய்யானாற் புளுகாதவன் பாவம் .,"If an insurrection exists, it is wrong not to make it known.",
2330,கலக்கந்தைக் கட்டிக் காணப் போனால் இருக்கலக் கந்தை கட்டி எதிரே வந்தாள்.,"When I went in rags to see her, she appeared enveloped in double the quantity.",
2331,கலக் கம்பு தின்றாலும் காடை காட்டிலே.,"Though it may consume a kalam of gtain, the quail lives in the jungle.",
2332,கலக்கினும் கடல் சேறாகாது.,"Though never so troubled, the sea does not become muddy.",
2333,கலத்திலே சோற்றை இட்டுக் கையைப் பிடித்தாற்போல.,Like holding the hand after putting rice on the plate.,
2334,கலக் நெல்லுக்குக் கல உமி இருக்குமா?,Will a kalam of paddy yield a kalam of husks?,
2335,கலப் பணத்தைப் பார்க்கிலும் ஒரு கிழப் பிணம் நல்லது.,The corpse of an old person is better than immense wealth.,
2336,கலப் பால் கறக்கலாம் துளிப் பால் முலைக்கு ஏற்றலாமா?,A kalam of milk may be drawn; can a drop be infused into the teat?,
2337,கலப் பாலுக்குத் துளிப் புரை.,A drop of butter-milk or curds to a kalam of milk.,
2338,கலப்பானாலும் பூசபூசப் பொன்னிறம்.,"Though not pure, repeated gilding will give it the colour of gold.",
2339,கலப் பாலில் ஒரு துளி விஷம் கலந்தாற்போலே,Like putting a drop of poison in a kalam of milk.,
2340,கலப் பால் குடித்த பூனை ஆழாக்குப் பால் குடியாதா?,Will not a cat that has drunk a kalam of milk drink an álak?,
2341,"கல மா இடித்தவள் பாவியும், கப்பி இடித்தவள் புண்ணியவதியுமா?","Is she who pounded a kalam of flour vicious, and she who pounded rolong virtuous?",
2342,கலம் கலந்தால் குலம் கலக்கும்.,"When plates are interchanged, tribal marriages interchange.",
2343,கலம் குத்தினாலும் பதர் அரிசி ஆகாது.,"Though a kalam of chaff be pounded, it will not become rice.",
2344,கல உமி தின்றால் ஒரு அரிசி தட்டாதா?,If a kalam of chaff be eaten may hot a grain of rice turn up?,
2345,கலியாணச் சந்தடியில் தாலி கட்ட மறந்தானாம்.,It is said that he forgot to tie the táli owing to the bustle at the wedding.,
2346,"கலியாணத்திலும் பஞ்சம் இல்லை, களத்திலும் பஞ்சம் இல்லை.","No scarcity at a wedding, nor in the threshing floor.",
2347,கலியாண வீட்டில் பந்தற்காலைக் கட்டி அழுகிறவள் செத்த வீட்டில் சும்மா இருப்பாளா?,Will the woman who wept as she clung to the post of a marriage pandal at be silent when she attends a funeral?,
2348,"கலியாண வீட்டிற்குப் போய் அறியான், மேளச் சத்தமும் கேட்டும் அறியான்.","He has never been at a wedding, nor has he heard the sound of a tom-tom.",
2349,கலியாணம் செய்தும் சன்னியாசியா?,"What, though married yet a Sanyási-ascetic?",
2350,"கல் ஆகிலும் கணவன், புல் ஆகிலும் புருஷன்.","Though in heart hard as a stone, and worthless as a blade of grass, he is your husband.",
2351,கல் எறிக்குத் தப்பினாலும் கண் எறிக்குத் தப்பக்கூடாது.,"Though one may escape the cast of a stone, he cannot escape the glance of an evil eye.The evil eye கண்ணூறு and the evil tongue நாவூறு are feared very generally. To avert their influence as regards fruits &c, in a garden, it is common to put up some object of attraction as a water-pot whitewashed, inverted on a stump, and dotted with black spots &c. In some enclosures grotesque images are seen.",
2352,"கல்லடிச்சித்தன் போகிற வழி, காடு மேடு எல்லாம் தவிடு பொடி.",All the rough and rugged ground before the stone-cutter will be reduced to powder.,
2353,கல்லாடம் படித்தவனோடு மல் ஆடாதே.,Do not contend with him who has studied kalladam.Kalladam a work on the third part of grammar is said to be extremely dry.,
2354,கல்லாதார் செல்வத்திலும் கற்றார் வறுமை நலம்.,The poverty of the learned is better than the wealth of the unlearned.,
2355,கல்லாத ஒருவன் குலநலம் பேசுதல் நெல்லுடன் பிறந்த பதராகும்மே.,The illiterate who boast of high rank may be compared to the dust mixed with paddy-unhusked rice.,
2356,கல்லார் உறவிலும் கற்றோர் பகை நலம்.,The enmity of the learned is better than the friendship of the illiterate.,
2357,கல்லார் உறவகல் காமக் கடல் கட.,Keep at a distance from the unlettered; cross the sea of passion.,
2358,கல்லிலும் வன்மை கனமூடர் நெஞ்சம்.,The heart of a great fool is harder than a stone.,
2359,கல்லிலே நார் உரிக்கிறது போல.,Like stripping fibre from a stone.,
2360,கல்லும் தேங்காயும்போலப் பேசுகிறான்,He speaks as effectively as the hitting of a stone on a cocoanut.,
2361,கல்லும் காவேரியும் உள்ளமட்டும் வாழ்க.,"May you live as long as the rocks and the Cauveri exist.The river Cauveri rises in the western ghauts and flows into the bay of Bengal. It is the source of the great fertility of Tanjore and the adjacent districts. According to the legend it originated in the following manner. In ancient times when the people of southern India suffered from drought, Ganésa became incarnate in the form of a crow. As such he visited the abode of an ascetic on one of the western hills. He there alighted on the waterpot of a hermit and upset it. The water thus spilt, by reason of the hermit’s merit, became a river: the current spelling would make the name the lake of the crow: the legend requires the word to be spelt காவேரி crow mounting, whereas காவேரி lake of the crow is common.",
2362,கல்லு வருகிற விசையைக் கண்டால் பல்லைச் சிக்கென மூடவேண்டும்.,On seeing the rapid approach of a stone press your teeth and shut your mouth.,
2363,"கல்லை ஆகிலும் கரைக்கலாம், மூர்க்கன் மனதைக் கரைக்கல் ஆகாது.","Even stones may be dissolved, but the mind of a fool cannot.",
2364,கல்லைக் கண்டால் நாயைக் காணோம் நாயைக் கண்டால் கல்லைக் காணோம் .,"On finding a stone we see no dog, on seeing a dog we find no stone.",
2365,கல்லைக் குத்துவானேன் கை நோகிறது என்று அழுவானேன்?,"Why beat a stone and then weep, exclaiming it has pained my hand?",
2366,கல்லைப்போலக் கணவன் இருக்கக் கஞ்சிக்கு அழுவானேன்?,Why weep for kanji while you have a husband as hard as a stone?,
2367,கல்லைக் கிள்ளி கை இழந்தது போலாம்.,Like losing the hand by pinching a stone.,
2368,கல்வி இல்லான் செல்வம் கற்பில்லாள் அழகு.,Wealth without learning is like beauty without chastity.,
2369,கல்வி என்ற பயிருக்குக் கண்ணீர் என்ற மழைவேண்டும்.,Plants of learning flourish in the rain of tears.,
2370,கல்வியும் குலமும் வெல்வது வினவில்.,"When inquiring what will prevail, one’s learning and rank naturally occur.",
2371,கல்வி உள்ள இளைஞன் கன கிழவன்.,A well instructed youth is an old man.,
2372,கல்வியைப் பங்கு போட ஏலாது.,Learning cannot be allotted in portions-to persons:,
2373,"கவணெறி நெறியில் நில்லாதே,கண்டவன் தலையை உடைக்கும்.","Do not stand in the way of a stone from a sling, it may break the head of the beholder.",
2374,"கவி கொண்டார்க்குக் கீர்த்தி, அதைச் செவிகொள்ளார்க்கு அவகீர்த்தி.","Praise to those who approve of a poem, and blame to those who will not listen to it.",
2375,கவிக்கொண்டார்க்கும் கீர்த்தி கலைப்பார்க்கும் கீர்த்தியா?,Are those who accept a poem and those who reject it alike praiseworthy?,
2376,கவிந்திராணம் கஜேந்திராணம் ராஜாவே நிற்பயே வகி.,"O king, manage a poet laureate and a superior elephant without fear.",
2377,கவையைப்பற்றிக் கழுதையின் காலைப் பிடி.,"To effect your object, if necessary, cling to the legs of an ass.",
2378,கழுதையைக் காணவேண்டினால் குட்டிச் சுவரிலே காணலாம்.,"If an ass be wanted, it may be found feeding near a ruinous wall.",
2379,கழுதைக் கெட்டால் குட்டிச்சுவர்.,"If an ass be out of condition, it will be as useless as a ruinous wall.",
2380,கழுதைக்கு ஏன் கடிவாளம்?,Why a bridle for an ass?,
2381,கழுதைப் புண்ணுக்கு புழுதி மருந்து.,Dust is medicine for the sores of an ass.,
2382,கழுதையும் குதிரையும் சரி ஆமா?,Are an ass and a horse equal?,
2383,கழுதையும் குதிரையும் பிணைத்தாற்போல .,Like yoking an ass and a horse together.,
2384,கழுதை அறியுமா கந்தப்பொடி வாசனை?,Can an ass appreciate fragrant powder?,
2385,கழுதைக்குச் சேணம் கட்டினாலும் குதிரை ஆமா?,Does an ass become a horse by being saddled?,
2386,கழுதை தேய்ந்து கட்டெறும்பு ஆயிற்று.,The ass by wearing away has become an ant.,
2387,"கழுதைக்கு ஏன் கவினம், அல்லது கடிவாளம்?",Why a bit or a bridle for an ass?,
2388,கழுதையைக் கட்டி ஓமம் வளர்த்தது போல.,"Like tying an ass and feeding a sacrificial fire.This proverb relates to the following story. A certain Maharàja had a barber who had evinced great skill in shaving hie royal master when he was asleep. To reward him the King resolved to elevate him in the social scale. The brahmans were called and ordered to make a brahman of the barber. They set to work, kindled a sacred fire and the barber was led round it, whilst the priests uttered the required incantations for accomplishing their purpose.The prime minister being of a somewhat facetious temperament determined to metamorphose an ass. As the proverb intimates he kindled a fire and led the animal round it. When the King saw him thus engaged he asked him what he was doing. The prime minister replied by stating that if the brahmans could make a brahman of a barber he thought an ass might be made into a horse, and he was therefore engaged in the ceremony.",
2389,கழுதைக்கு உபதேசம் காதிலே சொன்னாலும் அபயக் குரல் அன்றி அங்கு ஒன்றும் இல்லை .,Though religious instruction be whispered in the ears of an ass nothing will come of it but the accustomed braying.,
2390,கழுதைக்கு வாழ்க்கைப்பட்டு உதைக்கு அஞ்சலாமா?,"Having married an ass, do you fear his kicking?",
2391,"கழுதை மேல் ஏறி என்ன, இறங்கி என்ன?","What matters it whether you mount an ass, or alight from one?}கழுதைமேல் ஏறியும் பெருமை இல்லை, இறங்கியும் சிறுமை இல்லை.Though you may ride on an ass, you gain no honour, nor are you disgraced by dismounting.",
2392,கழுதை உழுது வண்ணான் குடி ஆனானா?,Did the washerman become a farmer by ploughing with an ass?,
2393,கழுதை உழுது குறவன் குடி ஆனானா?,Has the forester become a farmer by ploughing with an ass?,
2394,கழுதை மயிர் பிடுங்கினால் இலாபம் என்ன நஷ்டம் என்ன?,What profit or loss will arise from plucking off the hair of an ass?,
2395,கழுதை மயிர் பிடுங்கித் தேசம் கட்டி ஆள்வானா?,Can one reign as a king by selling ass-hair?,
2396,கழுதைக்குத் தெரியுமா கஸ்தூரி வாசனை?,Does an ass appreciate the odour of musk?,
2397,கழுதைக்குப் பரதேசம் குட்டிச்சுவர்,The foreign country of an ass is a ruinous wall.,
2398,கழுதை தப்பினால் குட்டிச்சுவரிடத்தில் இருக்கும்,"If an ass goes astray, it may be found near a ruinous wall.",
2399,கழுதைப்பொதியில் ஐங்கல மாறாட்டமா?,Are there five kalams of fraud in the pack on an ass?,
2400,கழுதை விட்டை ஆனாலும் கை நிரம்ப வேண்டும் என்கிறாய்.,"You say get a handful, although it be but ass dung.",
2401,கழுத்திலே கரிமணி இல்லை பெயர் முத்துமாலை.,"Her name is pearl necklace, yet on her neck she has not a black bead.",
2402,கழுவிக் கழுவிப் பின்னும் சேற்றை மிதிக்கிறதா?,What! is it to tread in the mud every time you wash your feet?,
2403,கழுவுக்கு ஏற்ற கோமுட்டி.,A kómutti exactly fitted to the stake.,
2404,களம் சாறுகிறவளை மிரட்டுவானாம் போர் பிடுங்குகிறவன்.,"It is said that he who steals grain from the stack, will frighten away the women who may sweep the threshing floor.",
2405,களையக் கூடாததைக் கண்டால் அடி பெயர்ந்து அப்புறம் போ.,"If you cannot pluck up, pass by on the other side.",
2406,களையக் கூடாததைக் கண்டியாமல் சகித்துக்கொள்.,Do not fret yourself about that which cannot be avoided.,
2407,கல் விற்றுக் கலப்பணம் சம்பாதிப்பதை விட கற்பூரம் விற்றுக் காற்பணம் சம்பாதிப்பது மேல்.,It is better to gain a quarter of a fanam by selling camphor than a kalam by selling toddy.,
2408,கள்ளனும் ஆகி விளக்கும் பிடிக்கிறான்.,He plays the thief and also holds the lamp.,
2409,கள்ள விசுவாசம் கழுத்தெல்லாம் செபமாலை.,The neck of the hypocrite is covered with rosaries.,
2410,கள்ளனையும் வெள்ள அணையும் கட்டிவிடு.,"Secure a thief by tying, and a flood by damming it up.",
2411,கள்ளப் பிள்ளையிலும் செல்லப்பிள்ளை உண்டா?,Are there any indulged ones among the children of kallars?,
2412,கள்ளனை ஆரு நள்ளார் என்றும்.,No one will ever approve of a thief.,
2413,கள்ளனுக்கு ஊரெல்லாம் விள்ளாப் பகை.,The whole country owes implacable hatred to a thief.,
2414,கள்ள மாடு சந்தை ஏறாது.,A vicious bullock will not be brought to market.,
2415,கள்ளனை நம்பினாலும் குள்ளனை நம்பலாகாது.,"A rogue may be trusted, but not a dwarf.",
2416,கள்ளன் பின் போனாலும் குள்ளன் பின்போகப்படாது.,"One may follow a rogue without risk, but not a dwarf.",
2417,கள்ளன் அச்சம் காடு கொள்ளாது.,The jungle is not large enough to contain the fear of rubbers.,
2418,கள்ள மாடு துள்ளும்.,An unwilling bullock is restless.,
2419,கள்ள மனம் துள்ளும்.,A guilty mind is agitated.,
2420,"கள்ளன் உறவு உறவும் அல்ல, காசா விறகு விறகும் அல்ல.","The friendship of a rogue is not friendship, nor is kásáwood fuel.",
2421,கள்ளன் புத்தி திருட்டுமேலே,The mind of a rogue is set on thieving.,
2422,கள்ளன் பிள்ளைக்கும் கள்ளப் புத்தி.,Even the child of a thief is characterized by thievish propensites.,
2423,கள்ளன் மனைவி கைம்பெண் என்றும்.,The wife of a thief is at any moment liable to become a widow.,
2424,கள்ளன் மனையாளைக் களவுப் பொருளைக் காணும் குறி கேட்கலாமா?,Can the wife of a thief be consulted as an augur for the recovery of stolen property?,
2425,கள்ளனும் வெள்ளமும் ஒன்று.,A thief and a flood are alike.,
2426,கள்ளனுக்குப் பாதி வெள்ளனுக்குப் பாதி.,"One half to the rogue, and one half to the honest.",
2427,கள்ளனும் தோட்டக்காரனும் ஒன்று.,A gardener is another term for a thief.,
2428,கள்ளனும் தோட்டக்காரனும் ஒன்று கூடினால் விடியுமட்டும் திருடலாம்.,"If the thief and a gardener are united, one may steal till day-break.",
2429,கள்ளன் கொண்ட மாடு எத்துறை போயென்ன?,What matters it to what ferry the bull may go that has been bought by a thief?,
2430,கள்ளனுக்குக் காண்பித்தவன் பகை.,He who points out a thief is hated by him.,
2431,கள்ளி பெருத்து என்ன? காய் உண்டா நிழல் உண்டா?,What if the kalli grow large? Has it any fruit or any shade?,
2432,கள்ளிக்கு நாடு எல்லாம் காடு.,The whole country is a wild fit for the growth of the kalli.,
2433,கள்ளிக் கொம்புக்கு வெள்ளிப்பூண் கட்டினதுபோல.,Like attaching a silver ferrule to a kalli stick.,
2434,கள்ளி என்னடி கல் இழைப்பது? காதில் இருப்பது பித்தளை.,"Why you hypocrite, inlay with gems? that which is in the ear is made of brass.",
2435,கள்ளிக்கும் வெட்டிக் கற்றாழைக்கும் வெட்டுகிறது.,After cutting the kalli to cut the kattalai.,
2436,"கள்ளிக்குத் தண்ணீர் கண்ணிலே, நீலிக்குத் தண்ணீர் நிமையிலே.","The tears of a thievish woman are in her eyes, those of an abandoned woman are in her eyebrows.",
2437,கள்ளிக்கு கலநீர் கண்ணிலே.,A thievish woman has a kalam of tears in her eyes.,
2438,"கள்ளிக்கு வேலி ஏன், சுள்ளிக்கு கோடாலி ஏன்?","What avails a fence against a thievish woman, or an axe for cutting twigs?",
2439,கள்ளும் சூதும் இருக்கிற இடத்தில் கூத்திக் கள்ளனும் இருப்பான்.,"Where there is theft and gambling, there will also be a whore-monger.",
2440,கள்ளைக் குடித்தால் உள்ளதைச் சொல்வான்.,"Should he drink toddy, he will tell the truth.",
2441,"கறக்கிறது உழக்குப் பால், உதைக்கிறது பல்லுப் பறக்க.","Yielding an ulak of milk, and kicking out the teeth.",
2442,கறந்த பாலும் எச்சில் பிறந்த பிள்ளையும் எச்சில்.,"First drawn milk is unclean, and so is a first-born child.",
2443,கறந்த பால் முலைக்கு ஏறுமா?,"Will the milk that has been drawn, again enter the udder?",
2444,கறந்த பாலைக் காய்ச்சாமற் குடித்தால் காச வியாதி தானே எடுபடும்.,"If fresh drawn milk unboiled be drunk, consumption may be cured.",
2445,கறுத்தது எல்லாம் தண்ணீர் வெளுத்தது எல்லாம் பால் என்கிறான்.,"Whatever is black he calls water, and whatever is white he calls milk.",
2446,"கறுப்பு வெளுப்பு ஆகாது, கசப்பு இனிப்பு ஆகாது.","Black will not become white, nor bitter sweet.",
2447,கறுப்பு நாய் வெள்ளை நாய் ஆகுமா?,Will a black dog become white?,
2448,கறுமுறுகாந்தப் படலம் வாசிக்கிறார் கவிராயர்.,The poet is reading the section on grumbling.,
2449,கறையான் புற்றில் அரவம் குடிகொண்டதுபோல.,Like a snake that occupied an ant-hill.,
2450,கறையான் புற்றுப் பாம்புக்கு உதவுகிறது.,An ant-hill is useful to a snake.,
2451,கற்கண்டாற் செய்த எட்டிக்கனி கசக்குமா?,Will etti fruit made of sugar-candy taste bitter?,
2452,"கற்கையில் கல்வி கசப்பு, கற்றபின்பு அதுவே இனிப்பு.","Learning when being acquired is bitter, but when possessed it is sweet.",
2453,கற்பகதருவைச் சார்ந்த காகமும் அமுதம் உண்ணும்.,Even a crow that lives in the kalpaka tree feeds on ambrosia.,
2454,கற்பித்தவன் கண்ணைக் கொடுத்தவன்.,He who gave the eye is he who taught.,
2455,கற்பித்தவன் காப்பாற்றுவான்.,He who preordained will protect or guide.,
2456,கற்பில்லா அழகு வாசனை இல்லாப் பூ.,"Beauty without chastity, a flower without fragrance.",
2457,கற்ற இடத்திலா வித்தையைக் காட்டுகிறது?,To practise a trick on him who taught it?,
2458,கற்றவரது கோபம் நீரின் பிளவுபோல் மாறும்.,The anger of the learned passes away as water recovers its surface after being divided.,
2459,கற்றது கையளவு கல்லாது உலகளவு.,"What he has learnt is a handful, and what he has still to acquire is wide as the world.",
2460,கற்றது சொல்லான் மற்று என்ன செய்வான்?,What other service will he do for you who would not tell you what he has learnt?,
2461,கற்றவனுக்கு வித்தை கால் நாழி.,To the artist his art is but a quarter of a náli.,
2462,கற்ற வித்தையைக் காய்ச்சிக் குடிக்கிறவன்போலே.,Like one who boils and drinks his learning.,
2463,கற்றறி மோழையாய் இராதே.,Be not a learned fool.,
2464,"கற்றவனும் உண்பான், பெற்றவளும் உண்பாள்.",A learned man and a fruitful woman will not suffer from want of food.,
2465,கற்றாழை நாற்றமும் பித்தளை வீச்சமும் போகாது.,The ill odour of the karráli and the bad smell emitted from brass will not leave them.,
2466,கற்றாழை சிறுத்தாலும் ஆனை அடி வைக்காது.,"Though the karràlai be small, the elephant will not tread upon it.",
2467,கற்றுக் கொடுத்த பேச்சும் கட்டிக் கொடுத்த சோறும் எத்தனை நாள் நிற்கும்.,"How long will words put into one’s mouth, and rice prepared for a journey, last?",
2468,கற்றுக் கற்றுப் பேசாதே.,Do not speak in a studied way.,
2469,கற்றும் கற்றறிமோழை.,"Though he has learnt, he continues a learned fool.",
2470,கற்றும் கற்றறிமோழையா?,"What, to be a learned fool?",
2471,கற்றோர் அருமை கற்றோர் அறிவர்.,The learned know the worth of the learned.,
2472,கன ஆசை கன நஷ்டம்.,Excessive desire entails great loss.,
2473,கன எலி வளை எடாது.,"When rats are numerous, they do not burrow.",
2474,கனக மாரி பொழிந்ததுபோலே.,As it rained gold.,
2475,"கனஞ் செய்தால் இஷ்டம், கனவீனத்தால் நஷ்டம்.","Dignity gains approval, meanness entails loss.",
2476,கனத்த உடைமைக்கு அனர்த்தம் இல்லை.,Solid jewels are invaluable.,
2477,கனத்தால் இனமாகும் பணத்தால் சனமாகும்.,"Dignity or worth increases relatives, wealth secures society.",
2478,கனத்திற்கு நற்குணம் சுமைதாங்கி.,Virtue is the support of dignity.,
2479,கனத்தைக் கனம் அறியும் கருவாட்டுப் பானையை நாய் அறியும்.,"Dignity is appreciated by dignity, the pot of dried fish is known to the dog.",
2480,கன மூடன் கைப்பொருள் இழப்பான்.,A great fool loses his substance.,
2481,கனவிலும் காக்கைக்கு மலம் தின்கிறதே நினைவு.,Even in its dreams the crow’s thoughts turn on eating filth.,
2482,கனவில் கண்ட பணம் செலவிற்கு உதவுமா?,Will the money seen in a dream meet one’s expenses?,
2483,கனவில் கண்ட பொருள் கானலில் கண்ட புனல்.,"The wealth seen in a dream, the water observed in a mirage.",
2484,கனவில் கண்ட சோறு பசி தீர்க்குமா?,Will the rice consumed in a dream appease hunger?,
2485,கனவிலே கண்டவனுக்குப் பெண் கொடுத்த கதை.,The story of a woman given in marriage to a man seen in a dream.,
2486,கனிந்த பழம் தானே விழும்.,Ripe fruit falls of itself.,
2487,கனிந்த பழம் நீர் தின்றீர் காயை உலுக்கிவிட்டீர்.,"You have eaten the ripe fruit, and you have shaken off the unripe.",
2488,கனியை விட்டுக் காயைத் தின்கிறதா?,"What, to leave ripe fruit and to eat unripe?",
2489,கன்மத்தினாற் சாதியன்றிச் சென்மத்தினால் இல்லை.,"Caste arises from action, it is not from birth.",
2490,கனமழை பெய்தாலும் கருங்கல் கரையுமா?,Will granite be dissolved by any amount of hail?,
2491,கன்மத்தினால் வந்தது தன்மந்தினால் போகவேண்டும்.,That which has come of action-sin-must go by alms giving religious merit.,
2492,"கன்று இருக்கக் காசத்தனை பால் கறவாப் பசு, கன்று செத்த பிறகு கலப்பால் கறக்குமா?","Will a cow that gave milk worth a small coin while its calf lived, give a kalam after her calf is dead?",
2493,கன்றுக்குட்டியை அவிழ்க்கச் சொன்னார்களா கட்டுத்தறியைப் பிடுங்கச் சொன்னார்களா?,Did they tell you to loose the calf or to pull up the peg?,
2494,கன்றும் பசுவும் காடேறி மேய்ந்தால் கன்று கன்று கன்றுவழியே பசு பசு வழியே,"When the calf and cow go out to graze, each takes its own way.",
2495,கன்றுகளாய்க் கூடிக் களை பறிக்கப் போனால் வைக்கோல் ஆகுமா செத்தை ஆகுமா?,"If a herd of calves weed the corn, will there be any straw, or even dry stubble?",
2496,கன்றைக் கண்டு ஓடிவரும் பசுவைப்போலே.,Like a cow that comes running on seeing her calf.,
2497,கன்னான் நடமாடக் குயவன் குடிபோவான்.,"When the brazier begins to move, the potter will abandon his dwelling-place.",
2498,கன்னானுக்கு முன்னே கழுதை பரதேசம் போனாற்போலே.,As an ass went on a pilgrimage before a copper-smith.,
2499,கன்னி இருக்கக் காளை மணம் போகலாமா?,"When a virgin is yet unmarried, may the youth-her brother-marry?",
2500,காகத்திலே வெள்ளை உண்டா?,Are there any white crows?,
2501,காகத்தின் கண்ணுக்குப் பீர்க்கம்பூ பொன் நிறம்.,To the eye of a crow the flower of the gourd is tinged with gold.,
2502,காகம் கர் என்றால் கணவனை அப்பா என்று கட்டிக்கொள்ளுவாளாம்.,"It is said that when a crow caws she will exclaim, alas, and cling to her husband.",
2503,காகம் ஏறிப் பனங்காய் உதிருமா?,Will palmyra fruit fall because a crow alights on the tree?,
2504,காகம் இல்லாத ஊர் பாவி இல்லாத ஊர்.,Vicious persons are not found in a village which has no crows.,
2505,காகம் இருக்கப் பழம் விழுந்ததுபோல.,Like the dropping of the fruit when a crow alighted on the tree.,
2506,காகம் இல்லாத ஊர் சோனகன் இல்லாத ஊர்.,The country in which crows do not exist is without mussalmans.,
2507,காகம் காலமே கா கா என்று கத்தும்.,Crows will caw at day-break.,
2508,காக்கனுக்கும் பூக்கனுக்கும் பூத்தாயோ புன்னை கண்ணாளர் வருந்தனையும் பொறுக்கலையோ புன்னை?,"O punnai tree, Alexandrian laurel, hast thou blossomed for Kakan and Pookan, couldst not thou have waited till the arrival of my husband?",
2509,காக்காய்க் குஞ்சு ஆனாலும் தன் குஞ்சு பொன் குஞ்சு.,"Though but a young crow, it is a golden one to its mother.",
2510,காக்கையிற் கரிது களாம்பழம்.,"Kalà fruit, carissa, is blacker than a crow.",
2511,காக்கையும் குயிற் குஞ்சைத் தன் குஞ்சுபோல் வளர்க்கும்.,Even a crow will bring up a young kuyil-Indian cuckoo-as her own.,
2512,காக்கைக்கு அஞ்சு குணம்.,The crow has five characteristics.,
2513,காக்கை ஏறினதும் பனம்பழம் விழுந்ததும்.,"The alighting of the crow, and the falling of the palmyra fruit.",
2514,காக்கையும் கத்திக் கத்திப் போகிறது கருவாடும் உலர்ந்து போகிறது.,"The crow continues to caw whilst the karuvadu, (salted fish) dries.",
2515,காக்கையும் காற்றும் போக்கு உண்டானால் வரும்.,Crows and winds go but to return.,
2516,காக்கையைக் கண்டு அஞ்சுவாள் கரடியைப் பிடித்துக் கட்டுவாள்.,"She is afraid on seeing a crow, and yet she will capture a bear.",
2517,காக்கை ஏறின கொம்பு அசையாதா?,Will not the branch shake on which a crow alights?,
2518,காசி இரண்டு எழுத்துத்தான் காண எத்தனை நாட்செல்லும்?,"Kàsi is formed of two letters only, how many days will it take to reach it?",
2519,காசிக்குப் போயும் கருமம் தொலையவில்லை.,Though one has gone to Benares his sins are not removed.,
2520,காசிக்குப் போனாலும் அகப்பை அரைக்காசு.,"Though taken to Benares, a wooden ladle will fetch but half a cash.",
2521,காசிக்குப் போனாலும் கதி பெற வழி இல்லை.,"Although he may go to Kàsi, he will not find the way to heaven.",
2522,காசிக்குப்போயும் முடத்தவசி காலில் விழுகிறதா?,What! having gone to Kàsi is it to fall at the feet of a lame ascetic?,
2523,காசியில் இருக்கிறவன் கண்ணைக் குத்தக் காஞ்சிபுரத்திலிருந்து கையை நீட்டிக் கொண்டு போகிறதா?,"If you wish to strike the eyes of one at Kási, do you go, for that purpose, with outstretched hand from Conjevaram?",
2524,காசு இல்லாதவனுக்கு வராகன் பேச்சு என்ன?,Why should a penniless man talk about pagodas?,
2525,"காசு கொடுத்தால் வேசி வருவாள், கல நெல்லைக் கொடுத்தால் அவள் அக்காளும் ஆத்தாளும் கூட வருவார்கள்.","If you are free with your money a harlot will come, if you give also a kalam of rice, her sister and her mother will come.",
2526,காசுக்கு ஒரு குஞ்சு விற்றாலும் கணக்கக் குஞ்சு ஆகாது.,"Though young birds are sold a cash each, an accountant's young bird is not good.",
2527,காசுக்கு ஒரு குஞ்சு விற்றாலும் கம்மாளக் குஞ்சு ஆகாது.,"Though sold for a single cash, never buy a smith's bird.",
2528,காசுக்கு ஒரு புடைவை விற்றாலும் நாயின் சூத்து அம்மணம்.,"Though cloth may be cheap, dogs go naked.",
2529,காசுக்கூடு கரிக்கூடாய்ப் போயிற்று.,The money basket has become a charcoal basket.,
2530,காசுக்குப் போன மானம் கோடி கொடுத்தாலும் வராது.,Chastity lost for a cash will not be recovered by a crore.,
2531,காசைக் கொடுத்துக் குத்து மாடு தேடுகிறதா?,Will you buy a vicious cow at a high price?,
2532,காஞ்சிபுரத்திற்குப் போனால் கால் ஆட்டி உண்ணலாம்.,"If you go to Conjeveram, you may eat without labour.",
2533,காடிக்குப் போய்த் தயிர் கொண்டுவந்ததுபோல.,Like going for vinegar and bringing curds.,
2534,காடு காத்தவனும் கற்சேரி காத்தவனும் பலன் அடைவான்.,"Both will be benefited, he who watches the jungle and he who waits at the cutchery.",
2535,காடு வா என்கிறது வீடு போ என்கிறது.,"Home bids me go, and the place of incremation says come.",
2536,காடு விளைந்தாலும் ஒரு மேடு விளைந்தாலும் கடன் கழிந்து போம்.,"The debt will be discharged in either case, whether the jungle or highland yield a good crop.",
2537,காடு விளையாவிட்டாலும் கடமை போகுமா?,"Though the waste land has yielded nothing, will the tax be remitted?",
2538,காடு வெந்தாற் சந்தன மரமும் வேகாதோ?,"Should the jungle be consumed, would the sandal wood tree escape?",
2539,காடை இடம் ஆனால் நாட்டை ஆளலாம்.,"If a quail crosses one's path to the left, he will govern a province.",
2540,காட்டிக் கொடுத்துக் கடக்கப் போய் நிற்கலாமா?,"Is it proper to betray one, and then stand aloof?",
