,proverb,translation
1208,ഗ്രഹപ്പിഴ വരുമ്പോൾ നാലുപുറത്തുംകൂടെ,
1209,ഘടദീപം പോലെ,
1210,ചക്കക്കു ചുക്കുതന്നെ പ്രതിവിധി,
1211,ചക്കക്കു തേങ്ങാ കൊണ്ടിട്ടും കൂട്ടെണം,
1212,ചക്കക്കൂഞ്ഞിലും ചന്ദനക്കുരണ്ടും സമം,
1213,ചക്കയിട്ടും നാ കുരച്ചും കിടക്കുകെയുള്ളൂ,
1214,ചക്കയോളം കൊത്തിയാലെ ഉലക്കയൊളം കാതൽ കിട്ടൂ,
1215,ചക്കര കൂട്ടിയാൽ തവിടും (കമ്പിളിയും) തിന്നാം (ചെല്ലും),
1216,"ചക്കര തിന്നുമ്പോൾ നക്കി, നക്കി, താരം കൊടുക്കുമ്പോൾ മിക്കി, മിക്കി",
1217,ചക്കര തൊട്ടു കൈ നക്കും,
1218,ചക്കരപ്പാടത്തിൽ കൈയിട്ടാൽ നക്കുമോ ഇല്ലയോ,
1219,ചക്കരയിൽ പറ്റിയ ഈച്ച പോലെ,
1220,ചക്കരക്കുണ്ടോ അകവും പുറവും,
1221,ചക്കിക്കു ചങ്കരൻ,
1222,ചക്കിന്റെ മുരട്ടെ കുട്ടന്റെ ചെൽ,
1223,ചങ്കെടുത്തു കാണിച്ചാൽ ചെമ്പരത്തിപ്പൂവെന്നു പറയും,
1224,ചങ്ങല രുചി ആനയറിയും,
1225,ചങ്ങാതിക്കു നെഞ്ചു തുറക്കണം,
1226,ചങ്ങാതി നന്നെങ്കിൽ കണ്ണാടി വേണ്ടാ,
1227,ചട്ടിയിലെ പന്നിക്കു നായാടെണ്ടാ,
1228,ചട്ടിയും പാനയുമായാൽ തട്ടിയും മട്ടിയും കിടക്കും,
1229,ചട്ടുവമറിയുമോ കറിയുടെ രസം,
1230,ചണ്ടിയും കച്ചറയും,
1231,ചണ്ഡാലൻ തീണ്ടിയ പിണ്ഡം പോലെ,
1232,ചതയം ചതഞ്ഞു കിടക്കും,
1233,ചതിവൻ തന്നെത്താൻ ചതിക്കും,
1234,ചത്ത കുതിരയ്ക്കെന്തിനു ലാടം തറയ്ക്കുന്നു,
1235,ചത്ത പശുവിനു മുക്കുടം പാൽ,
1236,ചത്താൽ തല തെക്കു പോലും വടക്കു പോലും,
1237,ചത്താലും പെറ്റാലും പുലയുണ്ടു,
1238,ചത്തുകിടക്കിലെ ഒത്തുകിടക്കൂ,
1239,ചത്തുപോയ ചിറ്റപ്പനു കാണിക്കാമൊ,
1240,ചത്തൊന്റെ വീട്ടിൽ കൊന്നൊൻറെ പാട്ടു,
1241,ചന്തിയില്ലാത്തവൻ ഉന്തിനടക്കും ചരതമില്ലാത്തവൻ പരതിനടക്കും,
1242,"ചന്തുവിന്നില്ല ഗുരുത്വം, ചാമണ്ടിക്കുമില്ല ഗുരുത്വം",
1243,ചന്ദനത്തോടടുത്ത അകിലു,
1244,ചന്ദനംചാരിയാൽ മീന്നാറിമണക്കുമൊ,
1245,ചപ്പച്ചിക്കു ചവറുനായരു,
1246,ചമ്പയുടെ ഇടയിൽ തൈവച്ചപോലെ,
1247,ചമ്പാൻവെച്ചിട്ടു ചാമ്പലിൽവാരിയിട്ടു,
1248,ചമ്പുകണ്ട പറയനെപോലെ,
1249,ചരക്കിട്ടവനെ മതുകിടത്തുള്ളു,
1250,ചരതമില്ലാത്തവൻ പരതിനടക്കും,
1251,ചവിട്ടിയാൽ കടിക്കാത്ത പാമ്പുണ്ടൊ,
1252,ചളിയിൽനിന്നാലാണ്ടുപോം,
1253,ചള്ളിലെ ചാറുള്ളു,
1254,ചാകയുമില്ല കട്ടിലൊഴികയുമില്ല,
1255,ചാകാത്തതു എല്ലാം തിന്നാം,
1256,ചാകാൻ തുനിഞ്ഞാൽ സമുദ്രവും മുഴങ്കാൽ,
1257,ചാകുന്നതിൽ നിരങ്ങുന്നതുകൊള്ളാം,
1258,ചാക്യാരുടെ ആസനംപോലെ,
1259,"ചാക്യാരെ ചന്തി, വണ്ണത്താന്റെ മാറ്റു",
1260,ചാക്കില്ലാത്തനാൾ ആർപിറന്നു,
1261,ചാട്ടത്തിൽപിഴച്ച കുരങ്ങിനെപോലെ,
1262,ചാൺവെട്ടിയാൽ മുളംനീളം,
1263,ചമ്പ = പീറ്റത്തെങ്ങു.,
1264,ചാമയുടെ മൂപ്പു്,
1265,ചാമ്പത്തോണിക്കു ചീമ്പക്കുഴക്കോൽ,
1266,ചാരിയാൽ ചാരിയതുമണക്കും,
1267,ചാലിയൻറെ ഓടംപോലെ,
1268,ചാലിയർ തിരുമുൽക്കാഴ്ചവെച്ചപോലെ,
1269,"ചിങ്ങംഞാറ്റിൽ ചിനിങ്ങി, ചിനിങ്ങി",
1270,ചിന്തയില്ലാത്തവനു ശീതമില്ല,
1271,ചിരച്ചുമിഞ്ചിയതു കുടുമ,
1272,ചിരട്ടയിൽവെള്ളം ഉറുമ്പിനു സമുദ്രം,
1273,"ചിരിക്കാതെ മുണ്ടുമടക്കണം, മരിക്കാതെ കഞ്ഞിയുംകുടിക്കണം",
1274,ചിരിച്ചോളം ദുഃഖം,
1275,ചിറമുറിഞ്ഞിട്ടു അണകെട്ടിയാൽ ഫലമെന്തു,
1276,ചിറിമേൽ കരിമ്പുനടുക,
1277,ചിറ്റമ്മമക്കളും ചെറ്റയിൽപല്ലിയും തേനിൽകുഴച്ചാലും കച്ചെ ഇരിക്കു,
1278,ചീങ്കണ്ണനു കോങ്കണ്ണി,
1279,ചീഞ്ഞകഞ്ഞിക്കു ഒടിഞ്ഞ ചട്ടകം,
1280,ചീഞ്ഞചോറ്റിനു ഒടിഞ്ഞ കയിൽ (തവി).,
1281,ചീത്തക്കണ്ണിൽ നല്ലതുകാണുകയില്ല,
1282,ചീരക്കടെക്കും എതിർക്കടവേണം,
1283,ചീരമുരട്ടു കാരപൊടിക്കയില്ല; കാരമുരട്ടു ചീരപൊടിക്കയല്ല,
1284,ചുക്കുകൂടാത്ത കഷായമില്ല,
1285,ചുട്ടകൈ കടിക്കും,
1286,ചുട്ടുതല്ലുമ്പോൾ കൊല്ലനുംകൊല്ലത്തിയും ഒന്നു,
1287,"ചുണ്ടങ്ങാ കാല്പണം, ചുമടുകൂലി മുക്കാൽപണം",
1288,ചുണ്ടണങ്ങാകൊടുത്തു വഴുതിനങ്ങാവാങ്ങൊല്ല,
1289,ചുമക്കുന്നകഴുത ചെനെക്കയില്ല,
1290,ചുമടുകുറെച്ചു ചുമ്മാടു,
1291,ചുമടൊഴിച്ചാൽ ചുങ്കംവീട്ടെണ്ടാ,
1292,ചുമലിൽ ഇരുന്നു ചെവി തിന്നരുതു,
1293,ചുമ(വ)രുണ്ടെങ്കിലെ ചിത്രമെഴുതാവു,
1294,"ചുളയില്ലാത്ത ചക്കയും കട്ടു, ചമ്പാടൻവഴക്കുമുണ്ടായി",
1295,ചൂട്ടുകണ്ടാ മുയലിനെപോലെ,
1296,ചൂണ്ടോന്നി ഇല്ലാത്തവൻ പെരുവിരലിനു കുറ്റംപറഞ്ഞാലൊ,
1297,ചെക്കിപ്പൂവോട ശൈത്താൻചുറഞ്ഞപോലെ,
1298,ചെട്ടി അടിച്ചും ചേര കടിച്ചും ചത്തവരുണ്ടൊ,
1299,ചെട്ടിക്കു കള്ളപ്പണംവന്നാൽ കുഴിച്ചുമൂടുകെയുള്ളു,
1300,ചെട്ടികെട്ടാൽ പട്ടുടുക്കും,
1301,ചെട്ടിയാന്റെ കപ്പലിനു ദൈവംതുണ,
1302,"ചെത്തി, ചെത്തി ചെങ്ങളം കണ്ടു",
1303,"ചെന്നറി, വന്നറി, കണ്ടറി, കേട്ടറി",
1304,ചെപ്പിടിക്കാരൻ അമ്പലംവിഴുങ്ങുമ്പോലെ,
1305,ചെമ്പിൽ അമ്പഴങ്ങാപുഴുങ്ങിതിന്നിട്ടും ജീവിക്കണം,
1306,ചെമ്പു് പുറത്തായിപ്പോയി,
1307,ചെമ്പെന്നുംചൊല്ലി ഇരുമ്പിനു കാലു (ചോര) കളഞ്ഞു,
1308,ചെമ്മാനം ഉണ്ടായാൽ മഴയുണ്ടാകും,
1309,ചെമ്മാനംകണ്ടാലന്നു മഴപെയ്തില്ലെങ്കിൽ പിന്നക്കൊല്ലം പെയ്തില്ല,
1310,"ചെമ്മീനും ചുരക്കായും കറിവെച്ചിട്ടെനിക്കെന്ത്യെടീ കള്ളീ, ചെമ്മീനും ചുരക്കായും കറിവെച്ചിട്ടൊണ്ടൊടൊ കള്ളാ",
1311,ചെറിയതലക്കു വലിയതൊപ്പിവെച്ചപോലെ,
1312,ചെറിയോൻപറഞ്ഞാൽ ചെവിട്ടിൽപോകാ,
1313,ചെറുപ്രായത്തിൽ പഠിച്ചതു മറുരാജ്യത്തിലും തുണക്കും,
1314,ചെറുതു കുറുതുപണിക്കു നല്ലവിരുതൻ,
1315,ചെറുപ്പത്തിൽകട്ടാൽ ചെറുവിരൽ കൊത്തണം,
1316,ചെറുവിരൽ വിങ്ങിയാൽ പെരുവിരലോളം,
1317,ചെല്ലാത്ത പൊന്നിനു വട്ടം ഇല്ല.,
1318,ചെല്ലം പെരുത്താൽ ചിതലരിക്കും,
1319,ചെവിക്കു പിടിച്ചാൽ തലവരും,
1320,ചേട്ടെക്കു പിണക്കവും അട്ടക്കു കലക്കവും നല്ലിഷ്ടം,
1321,ചേതം വന്നാലും ചിതംവേണം,
1322,ചെമ്പെന്നും ചൊല്ലി വെളിക്കൊ മണ്ണുകയറ്റിയതു,
1323,ചേര തിന്നുന്ന നാട്ടിൽ ചെന്നാൽ നടുത്തുണ്ടം തിന്നണം,
1324,ചേറുകണ്ടെടം ചവുട്ടിയാൽ വെള്ളം കണ്ടെടത്തുനിന്നു കഴുകെണം,
1325,ചേറ്റിൽ അടിച്ചാൽ നീളെ തെറിക്കും.(അഴുക്കു പറ്റും),
1326,ചേറ്റിൽ കിടക്കുന്നവനു പൊടി പിരണ്ടാലെന്തു,
1327,ചേറ്റിൽ കുത്തിയ കൈ ചോറ്റിൽ കുത്താം,
1328,"ചൊടിയുള്ള കുതിരക്കു ഒരടി, ചുണയുള്ള പുരുഷനു ഒരു വാക്കു",
1329,ചൊട്ടു കൊണ്ടാലും മോതിരക്കൈകൊണ്ടു കൊള്ളണം,
1330,ചൊറിക്കറിവില്ല,
1331,ചൊല്ലാതെവന്നാലുണ്ണാതെപോകും,
1332,"ചൊല്ലിക്കൊടു, നുള്ളിക്കൊടു, തല്ലിക്കൊടു, തള്ളിക്കള",
1333,ചോദിക്കുന്നതു കൊടുക്കാനാളുണ്ടെങ്കിൽ ചോദിക്കാത്തതു ഭോഷത്വം-.,
1334,ചോറങ്ങും കൂറിങ്ങും,
1335,ചോറുംകൊണ്ടതാ കറിപോകുന്നു,
1336,ചോറുംവെച്ചു കൈമുട്ടുമ്പോൾ കാക്കച്ചിവരും,
1337,"ചോറുണ്ടാകുമ്പോൾ ചാറില്ല, ചാറുണ്ടാകുമ്പോൾ ചോറില്ല, രണ്ടുംണ്ടാകുമ്പോൾഞാനില്ല.",
1338,"ചോറിൽകിടക്കുന്ന കല്ലെടുത്തുമ്മാൻവയ്യ, ഗോപുരംകെട്ടാൻ കല്ലുുമക്കാം പോലും",
1339,ഛർദ്ദിക്കുംപിള്ള വർദ്ധിക്കും,
1340,ഛർദ്ദിച്ചാൽ ഭക്ഷിക്കരുതു,
1341,ഛിദ്രേഷ്വനർത്ഥം ബഹുലീഭവന്തി,
1342,ജനിച്ചാൽ മരിക്കാതിരിക്കയില്ല,
1343,ജലരേഖ പോലെ,
1344,"ജളനെ വളരെ ആശ്രയിക്ക, ജന്മിയെ കൈവിടാതെയും ഇരിക്ക",
1345,ജാത്യാലുള്ളതു തൂത്താൽ പോകുമൊ,
1346,ജീരകത്താലിക്കു കുഴവെക്കുകയാണൊ,
1347,ജ്ഞാനി എല്ലായിടത്തും ജ്ഞാനി;രാജാവു രാജ്യത്തിൽ മാത്രം രാജാവു,
1348,"ഞണ്ടു, മണ്ഡലി, കായൽ, വാഴ, കുടപ്പന, പെറ്റാൽശേഷിക്കയില്ല",
1349,ഞാനും മുതലേച്ചനുംകൂടി കാളയെപിടിച്ചെന്നു തവള,
1350,ഞെക്കിപഴുപ്പിച്ച പഴംപോലെ,
1351,ഞെരിഞ്ഞിൽമുള്ളുകൊണ്ടാലും കുനിഞ്ഞുതന്നെ എടുക്കണം.,
1352,ഡില്ലിയിൽമീതെ ജഗഡില്ലി,
1353,തകൃതിപ്പലിശ തടവിന്നാകാ,
1354,തക്കം എങ്കിൽ തക്കം; അല്ലെങ്കിൽ വെക്കം,
1355,തക്കവർക്കു തക്കവണ്ണം പറകൊല്ല,
1356,തംകുലം വറട്ടി ധർമ്മം ചെയ്യരുതു,
1357,തഞ്ചത്തിനു വളംവേണ്ടാ; വളത്തിനു തഞ്ചംവേണ്ടാ,
1358,"തടിച്ചാൽ പെടുക്കും, ചടച്ചാൽ കുരക്കും",
1359,തടിയെടുത്തവൻ വേട്ടക്കാറൻ,
1360,തടുപ്പാൻ ശക്തിയുള്ള കാലത്തു അറിവില്ല,
1361,തട്ടാൻ തൊട്ടാൽ പത്തിന്നെട്ടു (എട്ടാൽ ഒന്നു),
1362,തട്ടാൻ പെങ്ങടെതും തട്ടും,
1363,തട്ടാനെ പിരടി പിടിച്ചുന്തിയപോലെ,
1364,തത്രപ്പെട്ടാൽ താടിയും മീശയും വരുമൊ,
1365,തനിക്കല്ലാത്തതു തുടങ്ങരുതു,
1366,തനിക്കിറങ്ങിയാൽ തനിക്കറിയാം,
1367,തനിക്കു ചുടുമ്പോൾ കുട്ടി അടിയിൽ,
1368,തനിക്കുതാനും പുരക്കു തൂണും,
1369,തനിക്കു വേണ്ടുകിൽ എളിയതും ചെയ്യാം,
1370,തനിക്കൊരു മുറമുണ്ടെങ്കിലെ തവിട്ടിന്റെ ഗുണമറിയൂ,
1371,തനിപ്പൊന്നിനു തീപ്പെടിയില്ല,
1372,തൻ കാണം തൻകൈയിൽ അല്ലാത്തൊനു ചൊട്ടൊന്നു,
1373,തൻ കയ്യിൽ കാണം മറുകയ്യിൽ പോയാൽ അക്കാണം വക്കാണം,
1374,തന്ത പരക്കഴി തള്ള പരക്കഴി അക്കുടിമക്കൾ ഒക്കെപ്പരക്കഴി,
1375,തൻ ബലം കണ്ടെ അമ്പലം കെട്ടാവു,
1376,തന്നതിനെ തിന്നുകൊണ്ടാൽ പിന്നെയും ദൈവം തന്നുകൊള്ളും,
1377,തന്നമ്പലം നന്നെങ്കിൽ പൊന്നമ്പലം ആടെണ്ടാ,
1378,തന്നാലെ താൻ കെട്ടാൽ അണ്ണാവി എന്തു ചെയ്യും,
1379,തന്നാൽ തന്നതും തിന്നതും കാണിക്കണം,
1380,തന്നിൽ എളിയതു തനിക്കിര,
1381,തന്നിൽ പെരിയതു ചങ്ങാതി,
1382,തന്നില്ലം പൊരിച്ചു ധർമ്മം ഉണ്ടൊ,
1383,തന്നിഷ്ട്ടത്തിനു മരുന്നില്ല.,
1384,"തന്നിഷ്ട്ടം പൊന്നിഷ്ട്ടം, ആരാന്റെയിഷ്ട്ടം വിമ്മിഷ്ട്ടം",
1385,തന്നൂർ പേയും അയലൂർ വെള്ളവും പേടി,
1386,തന്നെക്കൊല്ലുവാൻ വന്ന പശുവിനെ കൊന്നാൽ ദോഷമില്ല,
1387,തന്നെത്താനറിയാഞ്ഞാൽ പിന്നെത്താനറിയും,
1388,തന്നേ ചെയ്താൽ നന്നായ് ചെയ്യും,
1389,തന്നേയിട്ടാൽ കൊയ്യാൽഇല്ല,
1390,തന്നോടു ചോദിച്ചേ താനൊന്നു ചൊല്ലാവു.,
1391,തന്മേലുണ്ടെങ്കിലെ തമ്മട്ടിൽവീഴൂ,
1392,തന്മേൽ കാച്ചതു മുരട്ടിൽ വീഴും,
1393,തൻറെ ഒരുമുറം വെച്ചിട്ടു ആരാന്റെ അരമുറം പറയരുതു,
1394,തൻറെ കണ്ണിൽ കോലിരിക്കെ ആരാൻറെ കണ്ണിലെ കരടെടുക്കുന്നതെങ്ങിനെ?,
1395,തൻറെ കയ്യെ തലക്കു വെച്ചുകൂടു,
1396,തൻറെ മീടംകാഞ്ഞിട്ടു ആരാൻറെ കണ്ണാടി പൊളിക്കരുതു,
1397,"തന്റെയമ്മക്കു തവിടിടിക്കത്തില്ല, ആരാൻറെയമ്മക്കു ഇരുമ്പിടിക്കും",
1398,തപ്പിക്കണ്ടു വീശാറുണ്ടോ,
1399,തപ്പു കാച്ചിയും തണങ്ങു പെറുക്കിയും കിടക്കെയുള്ളൂ,
1400,തരമറിഞ്ഞു ചങ്ങാത്തമേറണം,
1401,തരമെന്നുവെച്ചു വെളുക്കുവോളം കക്കാറുണ്ടോ,
1402,"തരംവന്നാൽ നെല്ലുകിട്ടും, കരംവന്നാൽ അവർകെട്ടും",
1403,തല മയങ്ങിയാൽ സർവ്വവും മയങ്ങി,
1404,തല മറന്നു എണ്ണ തേക്കരുതു,
1405,തലമുടിയുണ്ടെങ്കിൽ ചായിച്ചും ചരിച്ചും കെട്ടാം,
1406,തലമുടിയുള്ളവർക്കു രണ്ടുപുറവും തിരിച്ചുകെട്ടാം,
1407,തലയിണ മാറിയാൽ തലക്കേടു പൊറുക്കുമൊ,
1408,തലയില്ലാത്തവനു തൊപ്പി എന്തിനു,
1409,തലയുണ്ടെങ്കിൽ നാലുവാക്കിനും കെട്ടാം,
1410,തലയുള്ളന്നും മൂക്കിലെവെള്ളം വറ്റുകയില്ല,
1411,തല വലിയവന്നു പൊത്തിൽ പൊയ്ക്കൂടാ,
1412,തൽക്കാലവും സദൃശവും ഒരുപോലെ.,
1413,"തല്ലുകൊള്ളുവാൻ ചെണ്ട, പണം വാങ്ങുവാൻ മാരാർ",
1414,തല്ലുന്ന കയ്യേ തഴുകത്തുള്ളൂ,
1415,തവള തുടിച്ചാൽ വെള്ളം പൊങ്ങുമോ,
1416,തവളെ പിടിച്ചു ഗണപതിക്കു വച്ചാലോ?,
1417,തവിടുകട്ടു കഴുവേറാൻ പോയി,
1418,തവിടു തിന്നുമ്പോൾ കുഴൽ വിളിക്കരുത്.,
1419,തവിടുതിന്നുന്നെങ്കിലും താളമുണ്ടായിരിക്കണം.,
1420,തവിടു തിന്നൂലും തകൃതി കളയരുത്.,
1421,"തവിടുള്ളപ്പോൾ ശർക്കരയില്ല, ശർക്കരയുള്ളപ്പോൾ തവിടില്ല.",
1422,തളപ്പിട്ട കാലിന്മേൽ ചെരുപ്പിട്ടാൽ എങ്ങനെയാണ്,
1423,തളികയിലുണ്ടാലും തേക്കും,
1424,തള്ളക്കോഴി ചവുട്ടീട്ട് കുഞ്ഞൻകോഴി ചാകയില്ല.,
1425,തള്ള ചവുട്ടിയാൽ പിള്ളയ്ക്കു കേടില്ല.,
1426,തള്ള ചൊല്ലാ വാവൽ കിഴുക്കനാം ജാതി.,
1427,തള്ള തടിവഴിയെങ്കിൽ പിള്ള എലച്ചിൽ വഴി.,
1428,"തള്ള വഴി പിള്ള, താണവഴി വെള്ളം.",
1429,തള്ളയ്ക്കുചുടുമ്പോൾ കുട്ടിയെ ഇട്ടു ചവിട്ടും (അച്ചിക്കുപൊള്ളുന്നേരം കുട്ടിയെിടിച്ചു ചന്തിക്കു വയ്ക്കും),
1430,തള്ളേ നോക്കി പിള്ളേ വാങ്ങണം,
1431,താങ്ങോർ ഉണ്ടെങ്കിൽ തളർച്ചയുമുണ്ട്.,
1432,താടിക്കുമ്മ കഴുത്തിനു കത്തി.,
1433,താടിയുള്ളോനെ പേടിയുള്ളു,
1434,താണകണ്ടത്തിൽ എഴുന്നവിള,
1435,താണനിലത്തേ നീരോടൂ(നീരൊഴുകൂ);അതിനേദൈവം തുണചെയ്യൂ,
1436,താണപുറത്തേ വെള്ളം നിൽക്കൂ,
1437,താണവാതിൽ കുനിഞ്ഞു കടക്കണം,
1438,"താൻ ആകാഞ്ഞാൽ കോണത്തിരിക്ക;പല്ലാകാഞ്ഞാൽ മെല്ലെച്ചിരിക്ക. (താൻ ഒട്ടെളുതായാൽ കോണത്തിരിക്കണം, പല്ലൊട്ടെളുതായാൽ മെല്ലെ ചവയ്ക്കണം-)",
1439,താൻ ഇരിക്കേണ്ടിടത്തു താൻ ഇരിക്കാഞ്ഞാൽ അവിടെ പിന്നെ നായിരിക്കും,
1440,താനുണ്ണാത്തേവർ വരംകൊടുക്കുമൊ,
1441,താനുണ്ടേ തൻറെ വയറു നിറയൂ,
1442,താൻ ചത്തു മീൻപിടിച്ചാൽ ആർക്കുകൂട്ടാൻ,
1443,താൻ ചെന്നാൽ മോർ കിട്ടാത്തെടത്തുനീന്നൊ ആളെ അയച്ചാൽ പാൽ കിട്ടുന്നു,
1444,താൻ ചെല്ലാകൂലി വട്ടിപ്പുറത്തു,
1445,താൻ ചെയ്ത പാപം തനിക്കു,
1446,താന്താൻ കഴിച്ചതിൽ താന്താൻ,
1447,താന്താൻ തേടിയതേ താന്താൻ നേടൂ,
1448,താന്താൻ പൊത്തിൽ തോന്തോം,
1449,താന്താന്റെ അഭിപ്രായം തെറ്റിപോകയില്ലാ,
1450,താന്തോന്നിക്കും മേന്തോന്നിക്കും പ്രതിയില്ലാ,
1451,"താൻ നാഴി കറക്കയുമില്ല, മോരിനുവരുന്നവരെ കുത്തുകയും ചെയ്യും",
1452,താൻ നേടാപ്പൊന്നിനു മാറ്റില്ല,
1453,താൻപാതി ദൈവംപാതി,
1454,താരം കൊണ്ടുരുട്ടിയാൽ ഓടം കൊണ്ടുരുട്ടും,
1455,താററ്റ തുണി പോലെ,
1456,താളിന്നുപ്പില്ല എന്നും താലിക്കു മുത്തില്ല എന്നും,
1457,താഴത്തുവീട്ടിൽ വന്ന വെള്ളിയാഴ്ച മേലേവീട്ടിലും,
1458,താഴിരിക്കെ പടിയോടുമുട്ടല്ല,
1459,താഴെ കൊയ്തവൻ ഏറെ ചുമക്കണം,
1460,തിണ്ടിന്മേൽ നിന്ന് തെറി പറയരുതു,
1461,തിന്നവായും കൊന്നവായും അടങ്ങുകയില്ല,
1462,തിന്നുതിന്നു പന്നിയായി,
1463,തിന്നുമ്പോൾ പന്നിക്കു ചെവി കേൾക്കുകയില്ല,
1464,തിരക്കുള്ള ചോദ്യത്തിനു സമയംപോലെ മറുപടി,
1465,തിര അടങ്ങി കുളിക്കാമൊ,
1466,തിരനീക്കി കടലാടാൻ കഴിയുമൊ,
1467,തിരുവായ്ക്കെതിർവായില്ല,
1468,തിരുവോണത്തിനില്ലാത്തതു തീക്കൊള്ളിക്കൊ,
1469,തീകൊണ്ടു പുരവെന്താലും തീ കൂടാതെകഴിക്കാമോ,
1470,തീക്കട്ട ഉറുമ്പരിക്കാൻ കാലമായൊ,
1471,തീക്കട്ട കഴുകിയാൽ കരിക്കട്ട,
1472,തീക്കനൽ അരിക്കുന്ന ഉറുമ്പു കരിക്കട്ട വെച്ചെക്കുമൊ,
1473,തീക്കൊള്ളികൊണ്ടു അടികൊണ്ട പൂച്ച മിന്നാമിനുങ്ങിയെ കാണുമ്പോൾ പേടിക്കും,
1474,തീക്കൊള്ളിമെലെ മീറു കളിക്കുമ്പോലെ,
1475,തീട്ടം കൊണ്ടു കോട്ട കെട്ടിയാൽ നായുരുട്ടിയിട്ടു തിന്നും,
1476,തീണ്ടലും തിരിയും ഇല്ലാത്തവൻ,
1477,തീണ്ടിയൊർക്കു മോർപ്പാള കളയരുതൊ,
1478,തീ പിടിക്കുമ്പോൾ കുളം കുഴിക്കാൻ പോകയൊ,
1479,തീയിൽ കുരുത്തതു (മുളെച്ചതു) വെയിലത്തു വാടുമൊ,
1480,തീയെന്നു പറഞ്ഞാൽ നാക്കുവേകുമോ (പൊള്ലിപോയൊ),
1481,തീയെടുത്താൽപൊള്ളാതിരികുമോ,
1482,തുഞ്ചൊൻപുച്ച കെട്ടിഉഴുതപൊലെ,
1483,"തുടങ്ങല്ലമുമ്പെ അതാവതോളം, തുടങ്ങിയാൽ പിന്നതു കൈവിടല്ല",
1484,തുടുപ്പെടുത്തൊളിച്ചാൽ കല്യാണം മുടങ്ങും,
1485,തുണയില്ലാത്തവർക്ക് ദൈവം തുണ,
1486,തുലാപത്ത് കഴിഞ്ഞാൽ പിലാപ്പൊത്തിലും പാർക്കാം,
1487,"തുലാവർഷംകണ്ടു ഓടിയവനുമില്ല, കാലവർഷംകണ്ടു ഇരുന്നവനുമില്ല",
1488,"തുള്ളക്കാരനെ എല്ലാവരും അറിയും, തുള്ളക്കാരൻ ആരെയും അറികയില്ല",
1489,തുള്ളികണ്ടുതുടച്ചേ തുടം കൊണ്ടുതേകൂ,
1490,തുള്ളിതുടചേ തുടമാകൂ,
1491,തുകുമ്പൊൾ പെറുക്കണം,
1492,തൂണുംചാരിയിരിക്കുന്നവനു പയിറ്റാമെന്നൊരു മോഹം തോന്നും,
1493,തൂറാത്തവൻ തൂറിയാൽ തീട്ടംകൊണ്ടാറാട്ടം,
1494,തൂറാൻമുട്ടുമ്പോൾ ആസനം അന്വേഷിക്ക,
1495,തുറിയോനെ പേറിയാൽപേറിയോനെയും നാറും,
1496,തെക്കുംവടക്കും അറിയാത്തവൻ,
1497,"തെക്കോട്ടു പോയ കാറുപോലെ, വടക്കോട്ട് പോയാ ആളെ പോലെ",
1498,"തെക്കോട്ടുപോയ മഴയും, വടകോട്ടുപോയ ബ്രാഹ്മണനും, കിഴക്കോട്ടുപോയ പശുവും, പടിഞ്ഞാട്ടു പോയ നായയും തിരികെ വരികയില്ല",
1499,തെങ്ങിനും കവുങ്ങിനും ഒരുതളെപ്പു തന്നെയൊ,
1500,തെണ്ടിതിന്നാൽ വഴിപറയണ്ടാ,
1501,തെറിക്കുത്തരം മേത്തരം പത്തലു്,
1502,തെളിച്ചതിലെ നടക്കാഞ്ഞാൽ നടന്നതിലെ തെളിക്ക,
1503,തേക്കുതടിക്കും തെമ്മാടിക്കും എവിടെയും കിടക്കാം,
1504,"തേങ്ങാ ഉണങ്ങിയാൽ പിണ്ണാക്ക, എള്ളുണങ്ങിയാൽ എണ്ണ",
1505,"തേങ്ങാ ചോരുന്നതു കാണുകയില്ല, എള്ളു ചോരുന്നതുകാണും",
1506,തേങ്ങാ പത്തരച്ചാലും താളല്ലെ കറി,
1507,തേങ്ങാപ്പിണ്ണാക്കിനു പ്രിയംവലിപ്പിക്കെണ്ടാ,
1508,തേങ്ങാവെച്ചു തഴുകിയതുപോലെ,
1509,"തേപ്പന പിഴുതുവരുമൊ, കല്പന കഴുതുവരുമൊ",
1510,തേവർ ഇരിക്കെ വെലിക്കല്ലിനെ തൊഴെണ്ടാ,
1511,തേവർ ഉണ്ടെങ്കിൽ തേക്കിലയും ഉണ്ണും,
1512,തേവിയാൻ കടിച്ചാലും അന്തിക്കത്തെ ചോറുമുട്ടും,
1513,"തേറിയോനെ മാറല്ല, മാറിയോനെ തേറല്ല",
1514,തൊട്ടാലൊട്ടി ചവിട്ടിത്തേച്ചപോലെ,
1515,തൊട്ടാവാടി നട്ടുവളർത്തണമൊ,
1516,തൊട്ടിലിൽശീലം ചുടയിലെ മാറു,
1517,"തൊമ്മനു തൊപ്പിപ്പാളപോയി, ചാണ്ടിക്കു കഴുക്കോൽ പോയി, മുതലാളിക്കു പണമടിശ്ശീലപോയി",
1518,"തൊമ്മനയയുമ്പൊൾ ചാണ്ടിമുറുകും, ചാണ്ടിയയയുമ്പൊൾ തൊമ്മൻ മുറുകും",
1519,തെവിയാൻ = നീർക്കോലി.,
1520,തൊട്ടാലൊട്ടി = ചെവിപ്പാമ്പു.,
1521,"തോട്ടം തോറും വാള (വാഴ), ദേശംതോറും ഭാഷ",
