	proverb	translation
817	గాలిలో దీపము బెట్టి దేవుడా నీ మహిమ చూపుమన్నట్టు.	Having put the lamp in the wind, he prays “O God! show thy power.”
818	గాలీ వానా వస్తే కథే మానుతుంది.	When a storm comes, the story ceases.A sudden stop to anything.
819	గింజలు ముత్తుము, పిట్టలు పన్నిద్దుము.	Three bushels of grain for twelve bushels of birds.
820	గుండ్రాయి దాస్తే, కూతురి పెండ్లి నిలుచునా.	If you hide the grinding stone will the daughter’s marriage be stopped??A round grinding stone or pestle is used in marriage ceremonies.A triﬂing hindrance put in a man's way will not divert him from his purpose.
821	గుండ్లు తేలి బెండ్లు ముణిగినట్టు.	Bullets ﬂoating, Bendu sinking.Bendu is the Eschynornene Indica from which pith hats, models, &c. are made.The order of nature reversed. ​
822	గుడి పాము కరిచినట్టు, గంగిగోవు పొడిచినట్టు.	The bite of the temple-snake, the goring of the sacred cow.An injury is none the less, though it be inﬂicted by a. relation or friend.
823	గుడిమింగే వానికి గుళ్లో లింగము వుట్రవడియము.	To him who swallows the temple, the lingam in it is a sugar-plum.
824	గుడిలో గంట పోతే, నంబికేమి లోటు.	If the temple bell be lost what does it matter to the priest ling?A hireling cares not for the property of his master.
825	గుడి వచ్చి మీద పడ్డట్టు.	Like a temple coming and falling on you.An unexpected calamity.
826	గుడ్డి కన్నా మెల్ల మేలు.	A squint eye is better than a blind eye.Of two evils choose the least.
827	గుడ్డి కన్ను మూశినా వకటే తెరిచినా వకటే.	It matters not whether the blind eye is open or shut.A useless man's absence is as good as his presence.
828	గుడ్డి గుర్రానకు పండ్లు తోముతున్నాడు.	He is cleaning the teeth of a blind horse.Unproﬁtnble employment.He is teaching a pig to play on a ﬂute. ​
829	గుడ్డి నక్క వురిన పడ్డట్టు.	Like the blind jackal falling into the snare.
830	గుడ్డి మామగారా నమస్కారమయ్యా అంటే, రంధికి మూలమా రంకుల కోడలా అన్నాడట.	When she said “I salute you, O blind father-in-law !” he replied “ Is this the commencement of strife? O adulterous daughter-in-law !”Let him that has a glass skull not take to stone throwing. (Italian)
831	గుడ్డి యెద్దు జొన్న చేన పడ్డట్టు.	Like a blind bullock going into a ﬁeld of millet.Not able to get much out of it.
832	గుడ్డివాడెరుగునా కుందనపు చాయ.	Can a blind man discern the colour of pure gold?An uneducated man cannot judge of the attainments of the learned.A blind man is no judge of colours. (Italian)A pebble and a diamond are alike to a blind man.
833	గుడ్డు వచ్చి పిల్లను యెక్కిరించినది.	The egg made faces at the chicken.Mocking and mimicking a superior.
834	గుణము మానవే గూటాల పోలీ అంటే, నా మనువయినా మానుతానుగాని నా గుణము మానను అన్నదట.	When Gutala Poli was told to amend her ways, she said she would rather break off the match.Obstinnte behaviour. Stubborn conduct. ​
835	గుమ్మడికాయ పొయ్యే దారి యెరగడు, ఆవగింజ పొయ్యే దారి అట్టే పట్టి చూస్తాడు.	He does not know the way the pumpkin goes, but troubles himself to ﬁnd the way the mustard seed goes.
836	గుమ్మడి కాయల దొంగ అంటే, తన బుజాలు తానే పట్టి చూసుకొన్నాడట.	When the thief who stole the pumpkin was spoken of, he felt his shoulders.Thinking some mark might have been left.A guilty conscience needs no accuser.He that has a mucklc nose thinks ilka ane is speaking o't. (Scotch)
837	గుమ్మళ్లు కుళ్లినవి, ఆవాలు అల్లినవి.	The pumpkins have become rotten, the mustard plants have spread.Said when the base and wicked rise in power and the great and good disappear.
838	గురువింద గింజ తన యెరుపేగాని ముడ్డి కింది నలుపు యెరగదు.	The Guruvinda seed knows its redness, but not the blackness of its lower part.A man values himself highly, but does not know his own defects.No one sees his own faults. (German.)
839	గురువుకు పంగనామాలు పెట్టినట్టు.	To put Panganamams on your Guru.To outwit him.Panganamam is a very large Namam, the sectarial mark worn on the forehead by Vaishnavas. ​
840	గురువును మించిన శిష్యుడు.	A disciple greater than his Guru.Said of an insolent fellow.
841	గురువుతో గుద్దులాటా.	May a man ﬁght with his Guru?
842	గురువు మాట మీరరాదు, గడ్డపార మింగరాదు.	You should not transgress the commandment of your Guru, nor swallow a crowbar.The ﬁrst is as bad for you as the second.
843	గుర్రము గుడ్డిదయినా దాణాలో తక్కువ వుండదు.	Although the horse be blind, he won’t eat less corn.Supporting a useless person.A bad horse eats as much as a good one. (Dutch.)
844	గుర్రము చచ్చినదిగాక గుంట తవ్వ వొక రూక.	In addition to the horse’s death, a fanam [must be paid] for digging a pit [to bury it in].Loss upon loss.After one loss come many. (French)
845	గుర్రమును తిన్న కుక్క అదేమి బ్రతుకును.	How can a dog which has eaten a horse live?
846	గుర్రము వలె కుక్కను పెంచి రెడ్డి తానే మొరిగినాడట.	The Reddi fed his dog like a horse, and barked himself.To pay a. servant extravagantly and do his work yourself. ​
847	గుర్రానికి గుగ్గిళ్ళు తిన నేర్పవలెనా.	Must one teach a horse to eat boiled gram ?Teach your grandmother to suck eggs.
848	గుర్రానికి తోక వుంటే తానే విసురుకొంటుందిగాని, సావిట్లో వుండే గుర్రాలకన్నిటికీ విసురుతున్నదా.	If the horse has a tail, it drives away its own ﬂies; does it drive away the ﬂies from all the horses in the stable ?Said when a selﬁsh person is exalted.An ill man in oﬂice is a mischief to the public.
849	గుళ్లో దేవునికి నైవేద్యము లేకుంటే, పూజారి పుళిహోరకు యేడ్చినాడట	While the idol in the temple was in want of Naivédyam, the priest cried for Pulihora.Pulihora is a more expensive oﬂ‘ering prepared with acid.
850	గువ్వ గూడెక్కెను, అవ్వ మంచమెక్కెను.	The owl took to its nest, the grandmother took to her bed.
851	గూనికి తోడు గుర్రపు వాయువు.	A humpbacked man with convulsions.(Sec Nos. 1755, 1830.)
852	గూనివాడు పడుకునేవల్ల గూనివానికే తెలుసును.	The humpback alone knows how he can lie comfortably.Every man knows but where his own shoe pinches. (Scotch)
853	గృహప్రవేశముకు వెళ్లుతూ గుడ్ల గూబను తోడుతీసుకొని పోయినట్టు.	Like taking an owl with you to the ceremony of entering a a new house.Grihapravesa is a ceremony only to be performed at an auspicious hour and in the absence of every bad omen. The owl is a peculiarly bad omen.Keeping company with your ill-wishers.
854	గొంతు కోశేవాడు కత్తి యేమారునా.	Will a cut-throat forget his knife ?
855	గొడారివాని వద్ద తోలు కొన్నట్టు.	Like buying leather from a shoemaker.Purchasing at unreasonable prices. The shoemaker buys his leather to make up, not to retail to others.
856	గొడ్ల కాచేవాణ్ని కొట్టనివాడున్ను, గొర్రెల కాచేవాణ్ని తిట్టనివాడున్ను లేడు.	There is no person who has not struck a herdsman, or abused a shepherdDespised people.
857	గొడ్రాలికి యేమి తెలుసును బిడ్ద నొప్పులు.	What does the barren woman know of the pains of child birth ?
858	గొడ్డుపోతు యేమి యెరుగురా బిడ్డ చవి.	What does the barren woman know of the pleasure of having children ?He who has no children knows not what is love. (Italian)19
859	గొడ్డువాడు గొడ్డుకు యేడిస్తే, గొడారివాడు తోలుకు యేడ్చినాడు.	When the owner cried for the cow [he had lost,] the shoe maker cried for the hide.It is an ill wind that blows nobody good.
860	గొరగగా మిగిలినది జుట్టు.	After shaving, all that is left is the top-lock.To sponge on another until he has nothing left.After shaving there is nothing to shear. (Italian)
861	గొర్రె కొవ్వితే గొల్లవాడికే లాభము.	If the sheep gets fat, it is for the beneﬁt of the shepherd.If the servant does in a huff more work than he is told, it is for the benefit of his master. The term translated gets fat also signiﬁes “becomes proud.”
862	గొర్రె కోశేవాణ్నిగాని నమ్మదు.	The sheep only trusts him who cuts its throat.The simple and unwary only trust their deceivers.
863	గొర్రెను తినేవాడు పోతే, బర్రెను తినేవాడు వచ్చినట్టు.	When the man who ate sheep went, a man who ate buffalos came.Parting with one rascal and getting a greater scoundrel in his place.
864	గొర్రెలలో తోడేలు జొరబడ్డట్టు.	Like a wolf rushing in among sheep.Easy prey.
865	గొల్లవాడి కొమ్ము యెచ్చనూ యెచ్చదు, తగ్గనూ తగ్గదు	The shepherd’s Kavadi neither rises nor sinks.Because he does not swing his pots on each end.The fortunes of a sheep-farmer are subject to sudden reverses.Applied to a precarious mode of living.
866	గొల్లవారింటి పెండ్లి తెల్లవారింది.	The morning dawns before the shepherds’ marriage is begun.They have so many disputes that nothing can be settled.
867	గోంగూరలో చింతకాయ వేశినట్టు.	Like mixing unripe tamarinds with Gogu greens.Gogu or Gongura is the Hibiscus Cannabinus.A combination of evil persons.
868	గోచికి పెద్ద, అంగవస్త్రముకు చిన్న.	Too big for a clout, too small for a body-cloth.Neither one thing nor the other.Too little and too much spoils everything. (Danish)Not too little, not too much. (German)
869	గోచి పాతల రాయడు దొంగల మిండడు.	Mr. Clout-Ragamuffin is the robbers’ master.He that has nothing is frighted at nothing.There is no stripping a naked man. (German)
870	గోట మీటితే పొయ్యే పనికి గొడ్డలి యెందుకు.	Why an axe for, that which can be done with a fillip of the nail?Unnecessary labour.
871	గోడకు పెట్టిన సున్నమూ, లంజకు పెటిన సొమ్మూ.	Lime put on a wall, money given to a harlot.No return.
872	గోడ పెట్టూ, చెంప పెట్టూ.	A slap in the face for knocking one’s head against the wall.Misfortunes seldom come alone.
873	గోడ మీది సున్నము విడయములోకి పనికి వచ్చునా.	Will the chunam on the wall be ﬁt for betel leaf ?A little ﬁne chunam (lime) is commonly eaten with betel.Said of a man who does not serve his friends.
874	గోడ వుంటే చిత్రము వ్రాయ వచ్చును.	If there is a wall you can draw on it.
875	గోనెలకంటే గోతాలు మెండు.	There are more small sacks than big ones.
876	గోరంత వుంటే, కొండంత చేస్తాడు.	When it is as small as a ﬁnger nail, he makes a mountain of it.To make a mountain of a mole-hill.
877	గోరీకాడి నక్కవత్తు.	Like a jackal at a tombA tantalizing position, as he cannot get into it.Like a cat round hot milk.
878	గోరుచుట్టు పయిన రోకటి పోటు.	A blow with a pestle on a whitlow.
879	గోవులను కోశి చెప్పులను దానము చేశినట్టు.	Like killing cows and giving away sandals [made of the hide.]Steal the goose, and give the giblets in alms.
880	గోవులేని వూళ్లో గొడ్డుగేదె శ్రీ మహాలక్ష్మి.	A barren buffalo is the emblem of Maha Lakshmi, in a village where there are no cows.Maha Lakshmi is the goddess of fortune.The one-eyed is a king in the land of the blind.
881	గ్రామశాంతికి బోడితల.	[Shaving] a bald head, to [propitiate] the village goddess.No other will submit to the ignominy.
882	గ్రాసము లేని కొలువు.	Work Without pay.Work not paid for is ill done.Work done expects money. (Portuguese)
883	ఘంటాకర్ణునికి అష్టాక్షరీవుపదేశం చెయ్యబోయినట్టు.	Like attempting to teach Ghantakarna the Ashtakshari.Ghantakarna ( Bell-eared) is the name of an attendant on Siva.Ashtakshari is a sacred formula used in the worship of Vishnu, composed, as the word denotes, of eight syllables (ఓం నమోనారాయణాయ.)
884	చంకపిల్ల జారిపడేటట్టు మాట్లాడుతాడు.He speaks so as [to cause one] to let the child drop from the arms and fall.A deceiver.A honey tongue, a heart of gall.Bees that have honey in their mouths have stings in their tails.	
885	చాంట్లో యెముకలు యేరినట్టు.	Looking for bones in a Woman’s breast.A minute investigation.
886	చక్కగా కూకోరా చాకలినాయడా అంటే, విన్నావటోయి యీడిగనాయడా మంగలినాయడి సరసము అన్నాడట.	“Sit properly Mr. Washerman” said one, “Mr. Toddy-drawer, do you hear Mr. Barber's joke ?” said the other.Chaffing between Satanis, who are Vaishnava converts from all castes.
887	ఘంటాకర్ణునికి అష్టాక్షరీవుపదేశం చెయ్యబోయినట్టు.	Like attempting to teach Ghantakarna the Ashtakshari.Ghantakarna ( Bell-eared) is the name of an attendant on Siva.Ashtakshari is a sacred formula used in the worship of Vishnu, composed, as the word denotes, of eight syllables (ఓం నమోనారాయణాయ.)
888	చంకపిల్ల జారిపడేటట్టు మాట్లాడుతాడు.He speaks so as [to cause one] to let the child drop from the arms and fall.A deceiver.A honey tongue, a heart of gall.Bees that have honey in their mouths have stings in their tails.	
889	చాంట్లో యెముకలు యేరినట్టు.	Looking for bones in a Woman’s breast.A minute investigation.
890	చక్కగా కూకోరా చాకలినాయడా అంటే, విన్నావటోయి యీడిగనాయడా మంగలినాయడి సరసము అన్నాడట.	“Sit properly Mr. Washerman” said one, “Mr. Toddy-drawer, do you hear Mr. Barber's joke ?” said the other.Chaffing between Satanis, who are Vaishnava converts from all castes.
891	చక్కదనానకు లోటిపిట, సంగీతానకు గాడిదె.	For beauty, a camel; for singing, an ass.
892	చక్కిలాలు తింటావా, చల్ది తింటావా అంటే, చక్కిలాలూ తింటాను, చల్దీ తింటాను, అయ్యతోటి వేడీ తింటాను అన్నాడట.	When [the guest] was asked whether he would take biscuits, or cold breakfast, he replied that he would take both, and hot breakfast too with the good man of the house.Applied to an ill mannered glutton.The first cut, and all the loaf besides.
893	చక్కెర పూత పూశిన విషము.	Poison covered with sugar.A ﬂattering speech is honied poison. (Latin)Sugared words generally prove bitter(Spanish)
894	చచ్చిన చారమేకపాలు పోయిన బోశిముంతెడు.	The milk given by the streaked goat which is dead ﬁlled the lost pot with a piece out.
895	చచ్చినవాని కండ్లు చేరెడు.	A dead man's eyes are very broad.Lavishing praises on the dead which were not bestowed on the living.
896	చచ్చినవాని పెండ్లికి వచ్చినంత కట్నము.	Any quantity of presents must suﬂice at a dead man’s marriage.When a marriage takes place, presents of cloths are sent to the bride and bridegroom by their relations. Return gifts of about equal value are made shortly after the marriage. Should the bridegroom, however, die during theceremonies, no presents are returned, and no complaints are therefore made regarding the value of those received.
897	చచ్చేదాకా బ్రతికి వుంటే పెండ్లి చేస్తానన్నట్టు.	If you live until I die, I’ll get you married.A jocular saying.
898	చచ్చేవానికి సముద్రము మోకాలి బంటి.	The sea to a desperate man is as [shallow water only up to] his knees.Men in despair fear nothing.Despair gives courage to a coward.
899	చదవ నేర్తువా వ్రాయ నేర్తువా అంటే, చదవా వ్రాయా నేరనుగాని చించ నేర్తును అన్నాడట.	When asked whether he could read and write, he said, “I can’t read or write, but I can tear.”
900	చదవ వేస్తే, వున్న మతి పోయినది.	When set to read, the [little] sense he had left him.Making bad worse.John has been to school to learn to be afaol. (French.)
901	చదివినవాని కన్నా చాకలవాడు నయము.	A washerman is better than an educated person.The washerman, though illiterate, invariably distinguishes the clothes belonging to different people by putting certain marks on them, but many of the educated cannot discern between good and evil.
902	చదివేది రామాయణము, పడగొట్టేవి దేవస్థలాలు.	He reads the Ramayana, and knocks down temples.Much religion, but no goodness.
903	చదువు మా యింట లేదు, సంధ్య మా వంశాన లేదు.	There is no learning in my house, nor performance of Sandhya in my family.Said by an uneducated and irreligious Brahman.
904	చద్దికంటే వూరగాయ ఘనము.	The best part of the cold food is the pickle.
905	చద్దికూడు తిన్నమ్మ మొగుడి ఆకలి యెరగదు.	The wife who has eaten breakfast [at home] does not think of her husband’s hunger.Little knows the fat sow what the lean one means.The full belly does not believe in hunger. (Italian.)
906	చద్ది తెచ్చుకున్న బ్రాహ్మణుడా భోజనము చెయ్యి.	O Brahman! if you have brought food, eat it.Said to a selﬁsh man who bores others by talking everlastingly of his own concerns.20
907	చన్నీళ్లయినా చల్లార్చుకొని తాగ వలెను.	Even cold Water should be drunk slowly.There is a pun here on the word చల్లార్చుకొని which also means “having cooled.”Nothing should be done hastily.Good and quickly seldom meet.Haste trips up its own heels.
908	చలిపందిటి కుండలకు తూట్లు పొడిచినట్టు.	Like making holes in the pots in a water-shed.The water-shed in India corresponds to the drinking-fountain in Europe.A despicable trick.
909	చలిపందిటి కుండలలో రాళ్లు వేశినట్టు.	Like throwing stones at the pots in a water-shed.
910	చల్లకు వచ్చి ముంత దాచుకొన్నట్టు.	Coming to beg buttermilk and hiding the cup.Pride with poverty.Pride and poverty are ill met yet often together.
911	చవక అయితే బాజారుకు వస్తున్నది.	When cheap it comes to the bazar.
912	చవక దూబరదిండికి కారణము.	Cheapness causes extravagance.A good bargain is a pick purse.What is not needed is dear at a farthinng. (Latin)
913	చస్తానని చద్ది అన్నము తింటే, చల్లగా నిద్ర వచ్చినదట.	Saying she would die ( kill herself) she made a great break-fast and had a ﬁne sleep.A trick to get a good meal, as she said it was to be her last.
914	చా అంటే, తూ అనలేడు.	When one says “cha” (and), he cannot answer “ tu” (but).
915	చాకల అత్తా, మంగల మామ.	A washerwoman of a mother-in-law, a barber of a father-in-law.A man abusing his wife’s parents.
916	చాకలవాని భార్యకు మంగలవాడు విడాకు యిచ్చినట్టు.	Like the barber’s giving a written divorcement to the washerwoman’s wife.b
917	చాప చిరిగితే చదరంత అయినా వుండకపోతున్నదా.	Although the mat be torn, will there not be found in it as much as a school boy’s mat ?Cadaru is a very small square mat.Every thing can be brought to some account.Nothing so bad as not to be good for something.
918	చాలీ చాలనందుకు చాకింట గుడ్డలు శానా వున్నవి.	If you have not quite clothes enough, there are plenty at the washennan’s.Alluding to the habit which obtains among the natives of India of hiring other people’s clothes from the washermen.
919	చావటి ముందరి కొంప కదపా పుల్లలకు సరి.	A thatched but opposite a Court-house, is used up for bonds.Bonds were formerly always written on Palmyra leaves, such as are used for thatching.
920	చావా చావడు, మంచమూ వదలడు.	He would neither die not give up his bed.
921	చావా చావనివ్వడు, బ్రతకా బ్రతకనివ్వడు.	He will neither allow me to die nor to live.Perpetual worrying.
922	చావుకు పెట్టితే గాని, లంఖణాలకు తెగదు.	He won’t fast unless told that his life is in danger.
923	చావుకు మళ్లీ చావు వస్తుందా.	Does death come more than once ?
924	చావు తప్పి కన్ను లొట్టపోయినట్టు.	Escaping death, but losing an eye.
925	చింత చచ్చినా, చింత పులుపు చావదు.	The tamarind may be dried, but it loses not its acidity.Retaining vigour of mind though weakened in body.
926	చింతా చిగిరింత యేపు.	The growth of the tamarind and the burgrass.The tamarind grows slowly, the Chigirinta (Panicum Verticillatum) shoots up very rapidly and soon withers.Slow and sure.
927	చికిలింత ఐశ్వర్యం.	Grass-like prosperity.
928	చిక్కి శిగిలించేటంతకన్నా, వెళ్లి వెక్కిరించేది మేలు.	It is better to go and mock another, than to whine when you are caught.
929	చిచ్చాయ చిచ్చాయ అంటే, సందాయె సందాయె అన్నట్టు.	One cried out “Fire! Fire!” and another “ Now’s the time! Now's the time!”The cry of Dvarapudi robbers on a certain occasion when they had set ﬁre to a village, which they had long been unable to plunder on account of the wariness of the inhabitants.
930	చిత్త చిత్తగించి స్వాతి దయచేశి విశాఖ విశిరి కొట్టకుంటే, వీసానికి పుట్టెడు పండుతాను అన్నట్టు.	“ If Chitta is kind, if Svati shows favor, and if Visakha does not blow too much, I will produce a Putti [of corn] to a Visam [of land]” said [the ﬁeld].Chitta and Swati are the 14th and 15th lunar mansions, in which rain is expected. Visఅkha is the 16th lunar mansion in which high winds are common.—Putti is a corn measure of 500lbs. Visam is the fraction 1/16 —here the 16th part of a Gunta, a land measure equal to 1/40 of an acre.Calm weather in June sets corn in tune.A shower in July, when the corn begin: to ﬁll,Is worth a plough of oxen, and all belong: there till.Dry August and warm doth harvest no harm.
931	చిత్తము శివునిమీద, భక్తి చెప్పులమీద	He has a mind to worship S'iva, but his thoughts are on his shoes (left outside the temple).
932	చినపేరితాడు తెగితే, పెదపేరితాడు అప్పుడే తెగుతుంది.	If China Péri’s marriage-cord be broken, Peda Péri's will be broken at the same time.The Tadu is the cord tied round a bride’s neck. To it is attached the gold Talibottu, answering to the wedding ring. When a woman becomes a widow the cord is broken.Said by one fellow wife to the other.Both in the same boat.
933	చిన్నక్క చిలక, పెద్దక్క గిలక, చూస్తే చుక్క, రేగితే కుక్క.	The younger sister is a parrot, the elder sister is a rattle; when you look at them they are like stars; when angry they are like dogs.
934	చిన్నపామునయినా, పెద్ద కర్రతో కొట్ట వలెను.	Though the snake be small, you must hit him with a big stick.
935	చిన్నమూ కావలె, చిదరా కావలె, మేలిమీ కావలె, మెడ తిరగవలె.	The ornament must be one Chinnam or less in weight, of pure gold, and must go round the neck.A Chinnam is a weight equal to the ninth part of a pagoda .Wishing to get a good thing and to pay little for it.
936	చిలక తన ముద్దేగాని యెదటి ముద్దు కోరదు.	A parrot likes to be petted itself, but not to see others petted.Applied to a selfish person.
937	చిలక ముక్కున దొండపండు వున్నట్టు.	Like a Donda fruit in a parrot’s beak.
938	చిలుము వదిలితే, ఛిద్రం వదులుతుంది.	When the “tin” goes, household broils disappear.Chilumu' is properly rust on other metals than iron; it is a slang term for money.
939	చిల్లిపేరే తూటు.	The name of a hole is a hole.Said of persons contradicting each other, though really driving at the same end.
940	చీకట్లో జీవరత్నము.	A brilliant gem in the darkness.A bright exception among a bad lot.
941	చీపరకట్టకు పట్టుకుచ్చు కట్టినట్టు.	A silk tassel to a broom.The grand appearance of a worthless person.A leaden sword in an ivory scabbard.
942	చీర కట్టినమ్మ శృంగారము చూడు, గుడ్డ కట్టినమ్మ కులుకు చూడు.	Look at the ﬁnery of the well dressed and the strut of the poorly dressed woman.
943	చీర పిట్టకు దొమ్మ తెగులు.	A white louse with the staggers.The Hindus’ cure for the staggers is branding the ﬂanks and legs with a ploughshare.Applied to measures quite out of proportion ;to the necessities of the case.
944	చీర సింగారించేటప్పటికి పట్నమంతా చూరబోయినట్టు.	By the time he had ﬁnished equipping himself, the whole town was plundered.Procrastination on the part of a boaster to conceal his cowardice or ignorance.
945	చుట్టమని చూడవస్తే, యింటివారంతా దయ్యాలై పట్టుకొన్నారట.	When he paid a visit to his relations, they all caught hold of him like devils.To get something out of him.
946	చుట్టూ చూరమంగళం, నడమ జయమంగళం.	The eaves are all in good order, and there is a joyful song in the court.Expressive of prosperity.
947	చూచినది పాము, కరచినది మామిడి తెంక.	What he saw was a snake, that which hit him was a mango stone.After seeing the snake, he had trodden on a split mango stone which nipped his toe.Flabbergasted with fright.
948	చూచినదెల్లా సుంకము, పాశినదెల్లా పంకము.	Every thing that is seen [is subjected to the payment of] duty; and every thing that is rotten [is thrown away in the] mud.Excessive demands.
949	చూడగా చూడగా గుర్రము గాడిదె అయినది.	As he looked and looked the horse turned out a donkey.By close inspection the true state is known.
950	చూడ చుంచెలుక, గోడలుతవ్వ పందికొక్కు.	To look at, it is like a musk rat, but to dig into walls it is like a bandicoot.Insigniﬁcant in appearance, but having the power of doing much harm.Little enemies and little wounds are not to be despised. (German.)
951	చూడ చుట్టమూ, మొక్క దైవమూ లేదు.	No relation to visit or god to worship.Utterly destitute.
952	చూడబోతే చుట్టాలు, రమ్మంటే కోపాలు.	If you visit them they are relatives, if you invite them to visit you they are angry.21
953	చూడ వచ్చిన వారికి శుక్రవారమేమి.	What is Friday to visitors ?If a married woman goes away from a house on Friday, the Hindus any that the goddess of fortune quits the house with her. The above is an excuse made by a casual visitor, who wished to get away.Lame excuses.
954	చెంబూ కంచమూ పోతే, ముఖము మీద కొట్టినట్టు ముంతా మూకుడూ తెచ్చుకో లేనా.	If I lose my brass pot and bell metal dish, can I not beat you by getting others made of earth ?A determined man will not be discouraged by diﬂiculties.
955	చెట్టు అయి వంగనిది మాను అయి వంగునా.	If a tree won’t bend when it is young, will it bend when it is full grown ?If a man is not humble in his youth, will he grow meek in his old age ?Bend the tree while it is young. (Italian.)The old branch breaks bent. (Dutch.)"Bow down his neck while he is young.” Ecclesiasticus xxx. 12.
956	చెట్టుకొట్టి పయికి తెచ్చుకొన్నట్టు.	Cutting a tree and letting it fall on one’s self.Bringing trouble on one’s own head.The fool hunts for misfortune. (French.)
957	చెట్టు చెడే కాలానకు కుక్క మూతి పిందెలు పుట్టుతున్నవి.	When the tree is about to perish, it brings forth blasted fruit.Applied to the ﬁrst signs of the coming ruin of a bad man.Coming events cast their shadows before them.
958	చెట్టు పెట్టిన వాడు నీళ్లు పొయ్యడా.	Will he who planted the tree not water it ?Will God not support the creatures of his hand?Said by a man who has lost his means of support.God never sends mouths but he sends meat.
959	చెట్టు ముందా, విత్తు ముందా అన్నట్టు.	Like asking whether the tree was ﬁrst or the seed.A problem that cannot be solved.Ask which was born first, the hen or the egg. (Italian)
960	చెట్టు యెక్కించి నిచ్చెన తీశినట్టు.	Making a man mount a tree and then taking away the ladder.Treachery. Breach of faith.
961	చెట్టు యెక్కేవాణ్ని యెందాకా తొయ్యవచ్చును.	How far can you push a man up a tree ?How long is a man to be assisted ?
962	చెడిపోయిన బ్రాహ్మణుడికి చచ్చిపోయిన ఆవును దానము చేశినట్టు.	Like offering a dead cow to an outcast Brahman.Knock a man down, and kick him forfalling.Him that falls all the world run over. (German)All bite the bitten dog. (Portuguese)
963	చెడి స్నేహితుని యింటికి వెళ్లవచ్చునుగాని, చెల్లెలి యింటికి వెళ్లకూడదు.	When you are mined, you may go to your friend’s house, but not to your sisters.Friends are better in adversity than relations who envied you in prosperity.Friends are the nearest relations.Relationship gives rise to envy. (Latin)
964	చెడేవాడు అబ్బడున్నాడు, మరీ పిడికెడు తేరా దానము చేస్తాను అన్నాడట.	It is Abbadu who will be ruined, bring me another handful [of money,] I will give it in alms.Abbadu is a familiar term applied to a lad.Hens are ay free o' horse corn. (Scotch)
965	చెడ్డ చేనికి మూడు మంచెలా.	Will a ﬁeld of withered corn require three watcher’s sheds ?To drive off the birds.
966	చెడ్డ చేనికి యింటి వడ్లు పొంగలా.	What! Offering the house-rice to a spoilt field ?Pongali is a preparation of rice oﬂ'ered to the ﬁelds after the harvest. In this case the crop had failed and the offering had to be made from the old store. It was therefore a needless ceremony.
967	చెప్పినంత చేశేవాడు శివునికన్నా వేరే యెవరూ లేరు.	Besides Siva, there is no other who is as good as his Word.
968	చెప్పిన బుద్ధీ, కట్టిన చద్దీ నిలవదు.	Advice given [ will be forgotten] ; and stale food tied up [in a bundle] will not keep.Advice whispered in the ear is worth a jeer.
969	చెప్పుకింది తేలు.	A scorpion under a shoe.A ruffian under restraint.
970	చెప్పుడు మాటలకన్నా తప్పుడు మాటలు నయము.	Lies are better than backbiting.
971	చెప్పులు తొడుగుకొన్న వానికి లోకమంతా తోలుతో కప్పబడ్డట్టు తోస్తున్నది.	To a man who Wears sandals the whole earth seems to be covered with leather.A man in comfortable circumstances does not realize the wants of others.
972	చెప్పే వాడికి శిగ్గు లేకపోతే, వినేవాడికయినా వివేకము వద్దా.	When the slanderer has no shame should not the bearer at least use discrimination ?Should he not swallow it cum grano salis ?Though the speaker be a fool let the hearer be wise. (Spanish.)Hear the other side, and believe little. (Italian)Every man’s tale is gude till anither's be tould. (Scotch)
973	చెయ్యి చూపి అవలక్షణము అనిపించుకొన్నట్టు.	Pointing with the hand, and being called a luckless fellow.Indiscreetly accusing a person openly of something which you are not able to prove.A fool's tongue is long enough to cut his own throat.Hear, see, and say nothing, if you wish to live in peace. (Italian)
974	చెరపకురా చెడేవు, వురకకురా పడేవు.	Ruin not others, lest thou be ruined thyself; run not, lest thou fall.He falls into the pit who leads another into it. (Spanish.)
975	చెరుకా బెల్లము పెట్టమంటే పెట్టునా.	If you ask the sugar-cane to give you molasses will it do so ?Strong measures must be used with stubborn folk.
976	చెరుకు తినడానకు కూలి యివ్వ వలెనా.	Is hire to be paid for eating sugar-cane ?
977	చెరుకు తీపి అని వేళ్లతో నమలవచ్చునా.	Because the sugar-cane is sweet are you to chew it with the roots ?Said of a greedy, grasping person.Milk the cow, but don't pull off the udder. (Dutch.)Give him an inch and he’ll take an all.Give a clown your finger and he will take your whole hand.
978	చెరుకు వంకబోతే తీపు చెడునా.	Though the sugar-cane is crooked, will it lose its sweetness ?Good blood cannot lie. (French)
979	చెరువు మీద అలిగి కాళ్లు కడుక్కోక పోయినట్టు.	Getting into a pet with the tank, he would not wash his feet in it.When a man grows angry, his reason rides out.
980	చెల్లీ చెల్లడములకు శెట్టిగారు వున్నారు.	The Setti is here to test the genuineness.A fool travelling with a Setti [merchant] was plundered. On the robbers’ questioning the genuineness of the coin, the man referred to his rich friend who had up to that time escaped their observation.To injure a friend unwittingly, from stupidity.
